"id","name","region"
"1","Knael","4"
"2","Troy","4"
"3","Pacifa","4"
"4","Onker","4"
"5","Quiro","4"
"6","Antsor","4"
"7","Harbor","3"
"8","Montse","3"
"9","Laeks","3"
"10","Vermon","3"
"11","Nordberg","3"
"12","Charcol","5"
"13","Droins","5"
"14","Mordor","5"
"15","Unterdages","5"
"16","Drakegor","5"
"17","Xantr","5"
"18","Yester","5"
"19","Tomparf","1"
"20","Preqeu","1"
"21","Hansora","1"
"22","Ismir","1"
"23","Sempre City","2"
"24","Nayak","2"
"25","Umprivaklo","2"
"26","Fjitsur","2"
"27","Soyaki","2"
