"id","name","attack","defense","max_health","health","gold","experience","spawn"
"1","Killer Bee","3","5","10","10","2","1","1"
"2","Killer Bee","3","5","10","10","2","1","1"
"3","Killer Bee","3","5","10","10","2","1","1"
"4","Killer Bee","3","5","10","8","2","1","1"
"5","Killer Bee","3","5","10","10","2","1","1"
"6","Killer Bee","3","5","10","2","2","1","1"
"7","Killer Bee","3","5","10","10","2","1","1"
"8","Killer Bee","3","5","10","10","2","1","1"
"9","Killer Bee","3","5","10","5","2","1","1"
"10","Bat","8","10","12","12","2","5","1"
"11","Bat","8","10","12","12","2","5","1"
"12","Bat","8","10","12","12","2","5","1"
"13","Bat","8","10","12","5","2","5","1"
"14","Bat","8","10","12","12","2","5","1"
"15","Bat","8","10","12","12","2","5","1"
"16","Bat","8","10","12","12","2","5","1"
"17","Bat","8","10","12","11","2","5","1"
"18","Bat","8","10","12","12","2","5","1"
"19","Bat","8","10","12","12","2","5","1"
"20","Bat","8","10","12","12","2","5","1"
"21","Bat","8","10","12","6","2","5","1"
"22","Bat","8","10","12","12","2","5","1"
"23","Imp","4","15","20","20","5","8","1"
"24","Imp","4","15","20","19","5","8","1"
"25","Imp","4","15","20","20","5","8","1"
"26","Imp","4","15","20","20","5","8","1"
"27","Imp","4","15","20","20","5","8","1"
"28","Imp","4","15","20","20","5","8","1"
"29","Imp","4","15","20","20","5","8","1"
"30","Imp","4","15","20","2","5","8","1"
"31","Imp","4","15","20","20","5","8","1"
"32","Imp","4","15","20","20","5","8","1"
"33","Imp","4","15","20","20","5","8","1"
"34","Tarantula","18","7","15","15","7","10","1"
"35","Tarantula","18","7","15","11","7","10","1"
"36","Tarantula","18","7","15","15","7","10","1"
"37","Tarantula","18","7","15","15","7","10","1"
"38","Tarantula","18","7","15","15","7","10","1"
"39","Tarantula","18","7","15","15","7","10","1"
"40","Tarantula","18","7","15","3","7","10","1"
"41","Tarantula","18","7","15","15","7","10","1"
"42","Tarantula","18","7","15","15","7","10","1"
"43","Goblin","30","10","25","25","10","12","1"
"44","Goblin","30","10","25","25","10","12","1"
"45","Goblin","30","10","25","12","10","12","1"
"46","Goblin","30","10","25","25","10","12","1"
"47","Goblin","30","10","25","25","10","12","1"
"48","Goblin","30","10","25","25","10","12","1"
"49","Goblin","30","10","25","25","10","12","1"
"50","Goblin","30","10","25","5","10","12","1"
"51","Goblin","30","10","25","25","10","12","1"
"52","Goblin","30","10","25","25","10","12","1"
"53","Goblin","30","10","25","25","10","12","1"
"54","Orc","30","20","30","30","10","15","1"
"55","Orc","30","20","30","30","10","15","1"
"56","Orc","30","20","30","30","10","15","1"
"57","Orc","30","20","30","23","10","15","1"
"58","Orc","30","20","30","30","10","15","1"
"59","Orc","30","20","30","30","10","15","1"
"60","Orc","30","20","30","30","10","15","1"
"61","Orc","30","20","30","30","10","15","1"
"62","Orc","30","20","30","3","10","15","1"
"63","Orc","30","20","30","30","10","15","1"
"64","Orc","30","20","30","45","10","15","1"
"65","Orc","30","20","30","30","10","15","1"
"66","Orc","30","20","30","30","10","15","1"
"67","Orc","30","20","30","30","10","15","1"
"68","Orc","30","20","30","30","10","15","1"
