"id","name","sex","max_health","attack","defense","agility","experience","gold","weapon","armor"
"1","Konan","m","1235","120","85","50","3652","1850","22","4"
"2","Captain America","m","3585","700","165","183","4979965","1800","36","17"
"3","Mega Mindy","f","500","40","60","15","540","110","46","8"
"4","Catwoman","f","1760","60","100","80","25700","1030","47","2"
"5","Buzz Lightyear","m","1530","185","160","60","6380","1345","6","11"
"6","Mario","m","420","24","28","27","697","160","16","7"
"7","Shrek","m","1360","70","68","30","14720","467","29","4"
"8","Dante","m","1370","93","74","112","3702","305","11","5"
"9","Zelda","f","2630","339","512","109","77443","1925","30","15"
"10","Super MeatBoy","m","250","5","8","2","205","32","26","1"
"11","Bowser","m","10000","400","100","80","500000","10000","48","19"
"12","Ser Cauthrien","f","22000","800","270","120","800000","14000","49","20"
"13","Magician Faust","m","28000","1500","325","100","1500000","20000","50","21"
"14","Beelzebub","m","40000","2500","610","40","2700000","25000","51","22"
"15","The Demi-Fiend","m","50000","3800","800","100","5200000","40000","52","23"
"16","Ryn'den","f","250","10","10","10","0","0","1","1"
"17","Ghas","m","250","10","10","10","0","0","1","1"
"18","Torhin","f","250","10","10","10","0","0","1","1"
"19","Sliseror","m","250","10","10","10","0","0","1","1"
"20","En'war","f","250","10","10","10","0","0","1","1"
"21","Usttaia","f","250","10","10","10","0","0","1","1"
"22","Polran","m","250","10","10","10","0","0","1","1"
"23","Issrak","f","250","10","10","10","0","0","1","1"
"24","Tredrakel","f","250","10","10","10","0","0","1","1"
"25","Phoaughough","f","250","10","10","10","0","0","1","1"
"26","Urnlor","m","250","10","10","10","0","0","1","1"
"27","Ioma","m","250","10","10","10","0","0","1","1"
"28","Er-rothon","m","250","10","10","10","0","0","1","1"
"29","Samgha","m","250","10","10","10","0","0","1","1"
"30","Oldoight","m","250","10","10","10","0","0","1","1"
"31","Oughattonosy","m","250","10","10","10","0","0","1","1"
"32","Radardtan","f","250","10","10","10","0","0","1","1"
"33","Ir'ech","m","250","10","10","10","0","0","1","1"
"34","Ashzos","m","250","10","10","10","0","0","1","1"
"35","Nyswhon","f","250","10","10","10","0","0","1","1"
"36","Perer","f","250","10","10","10","0","0","1","1"
"37","Tonpryn","f","250","10","10","10","0","0","1","1"
"38","Chrorad","f","250","10","10","10","0","0","1","1"
"39","Deemtor","m","250","10","10","10","0","0","1","1"
"40","Ingurn","m","250","10","10","10","0","0","1","1"
"41","Luzslor","m","250","10","10","10","0","0","1","1"
"42","Burkelem","f","250","10","10","10","0","0","1","1"
"43","Chel","f","250","10","10","10","0","0","1","1"
"44","Drainatin","f","250","10","10","10","0","0","1","1"
"45","Mossay","m","250","10","10","10","0","0","1","1"
"46","Nyetlor","m","250","10","10","10","0","0","1","1"
"47","Therton","m","250","10","10","10","0","0","1","1"
"48","Kotaj","f","250","10","10","10","0","0","1","1"
"49","Nimani","m","250","10","10","10","0","0","1","1"
"50","Isuske","f","250","10","10","10","0","0","1","1"
"51","Ens","f","250","10","10","10","0","0","1","1"
"52","Chaquean","m","250","10","10","10","0","0","1","1"
"53","Vamlye","f","250","10","10","10","0","0","1","1"
"54","Gum","f","250","10","10","10","0","0","1","1"
"55","Ris'ran","m","250","10","10","10","0","0","1","1"
"56","Peroust","m","250","10","10","10","0","0","1","1"
"57","Enys","f","250","10","10","10","0","0","1","1"
"58","Echuf","f","250","10","10","10","0","0","1","1"
"59","Liyese","m","250","10","10","10","0","0","1","1"
"60","Ach'ran","m","250","10","10","10","0","0","1","1"
"61","Essold","m","250","10","10","10","0","0","1","1"
"62","Uema","m","250","10","10","10","0","0","1","1"
"63","Xilent","f","250","10","10","10","0","0","1","1"
"64","Nallyeo","f","250","10","10","10","0","0","1","1"
"65","Undald","m","250","10","10","10","0","0","1","1"
"66","Athemis","m","250","10","10","10","0","0","1","1"
"67","Awas","m","250","10","10","10","0","0","1","1"
"68","Rodskel","m","250","10","10","10","0","0","1","1"
"69","Rainadan","m","250","10","10","10","0","0","1","1"
"70","Ightalever","m","250","10","10","10","0","0","1","1"
"71","Shyz","m","250","10","10","10","0","0","1","1"
"72","Entorm","m","250","10","10","10","0","0","1","1"
"73","Ina'vor'oph","m","250","10","10","10","0","0","1","1"
"74","Vernn","m","250","10","10","10","0","0","1","1"
"75","Tedar","f","250","10","10","10","0","0","1","1"
"76","Umedyn","m","250","10","10","10","0","0","1","1"
"77","Nahuz","m","250","10","10","10","0","0","1","1"
"78","Andril","f","250","10","10","10","0","0","1","1"
"79","Kalskel","f","250","10","10","10","0","0","1","1"
"80","Sulthin","m","250","10","10","10","0","0","1","1"
"81","Tais","m","250","10","10","10","0","0","1","1"
"82","Tidtan","m","250","10","10","10","0","0","1","1"
"83","Uinea","m","250","10","10","10","0","0","1","1"
"84","Schehin","f","250","10","10","10","0","0","1","1"
"85","Roth'gha","m","250","10","10","10","0","0","1","1"
"86","Hatck","m","250","10","10","10","0","0","1","1"
"87","Errhat","f","250","10","10","10","0","0","1","1"
"88","Onck","f","250","10","10","10","0","0","1","1"
"89","Awoldo","f","250","10","10","10","0","0","1","1"
"90","Yidini","m","250","10","10","10","0","0","1","1"
"91","Lyerak","m","250","10","10","10","0","0","1","1"
"92","Boek","m","250","10","10","10","0","0","1","1"
"93","Ildsul","f","250","10","10","10","0","0","1","1"
"94","Blen","f","250","10","10","10","0","0","1","1"
"95","Emm","f","250","10","10","10","0","0","1","1"
"96","Samran","m","250","10","10","10","0","0","1","1"
"97","Sulightust","m","250","10","10","10","0","0","1","1"
"98","Banor","m","250","10","10","10","0","0","1","1"
"99","Ineust","m","250","10","10","10","0","0","1","1"
"100","Ad'hat","m","250","10","10","10","0","0","1","1"
"101","Tassul","f","250","10","10","10","0","0","1","1"
"102","Eltasi","m","250","10","10","10","0","0","1","1"
"103","Lorrodque","m","250","10","10","10","0","0","1","1"
"104","Peus","m","250","10","10","10","0","0","1","1"
"105","Seel","f","250","10","10","10","0","0","1","1"
"106","Riltur","f","250","10","10","10","0","0","1","1"
"107","Eldtur","m","250","10","10","10","0","0","1","1"
"108","Enth'ati","f","250","10","10","10","0","0","1","1"
"109","Cheiahon","f","250","10","10","10","0","0","1","1"
"110","Hatackvesackos","m","250","10","10","10","0","0","1","1"
"111","Shyvor","f","250","10","10","10","0","0","1","1"
"112","Slias","f","250","10","10","10","0","0","1","1"
"113","Hiy","m","250","10","10","10","0","0","1","1"
"114","Ackurn","m","250","10","10","10","0","0","1","1"
"115","Dared-ild","m","250","10","10","10","0","0","1","1"
"116","Mukovo","m","250","10","10","10","0","0","1","1"
"117","As'ingy","f","250","10","10","10","0","0","1","1"
"118","L'mosler","m","250","10","10","10","0","0","1","1"
"119","Kinunt","f","250","10","10","10","0","0","1","1"
"120","Oira","f","250","10","10","10","0","0","1","1"
"121","Cer'ing","f","250","10","10","10","0","0","1","1"
"122","Ightyril","f","250","10","10","10","0","0","1","1"
"123","Stusmor","f","250","10","10","10","0","0","1","1"
"124","Aseyt","m","250","10","10","10","0","0","1","1"
"125","Anyso","m","250","10","10","10","0","0","1","1"
"126","Tic","m","250","10","10","10","0","0","1","1"
"127","Belbel","m","250","10","10","10","0","0","1","1"
"128","Rodkal","f","250","10","10","10","0","0","1","1"
"129","Iatas","f","250","10","10","10","0","0","1","1"
"130","Emhata","f","250","10","10","10","0","0","1","1"
"131","Raks","m","250","10","10","10","0","0","1","1"
"132","Eseise","m","250","10","10","10","0","0","1","1"
"133","Raninasam","m","250","10","10","10","0","0","1","1"
"134","It'lyea","f","250","10","10","10","0","0","1","1"
"135","Ittinat","f","250","10","10","10","0","0","1","1"
"136","Omath","m","250","10","10","10","0","0","1","1"
"137","Enjunt","f","250","10","10","10","0","0","1","1"
"138","Thitwar","f","250","10","10","10","0","0","1","1"
"139","Sniqua","m","250","10","10","10","0","0","1","1"
"140","Kellye","f","250","10","10","10","0","0","1","1"
"141","Sayul","m","250","10","10","10","0","0","1","1"
"142","Vorlersam","f","250","10","10","10","0","0","1","1"
"143","Sam'alei","m","250","10","10","10","0","0","1","1"
"144","Rak'om'ead","m","250","10","10","10","0","0","1","1"
"145","Skel'quea","m","250","10","10","10","0","0","1","1"
"146","Seysash","m","250","10","10","10","0","0","1","1"
"147","Zodovo","m","250","10","10","10","0","0","1","1"
"148","Unddarash","f","250","10","10","10","0","0","1","1"
"149","Zhap","m","250","10","10","10","0","0","1","1"
"150","Cerrad","m","250","10","10","10","0","0","1","1"
"151","Hiemkim","f","250","10","10","10","0","0","1","1"
"152","Nalelm","f","250","10","10","10","0","0","1","1"
"153","Y'taiough","m","250","10","10","10","0","0","1","1"
"154","Ealea","m","250","10","10","10","0","0","1","1"
"155","Etk","f","250","10","10","10","0","0","1","1"
"156","Cheal","m","250","10","10","10","0","0","1","1"
"157","Estina","m","250","10","10","10","0","0","1","1"
"158","Gyves","m","250","10","10","10","0","0","1","1"
"159","Kelbur","m","250","10","10","10","0","0","1","1"
"160","E'naliss","f","250","10","10","10","0","0","1","1"
"161","Oeny","f","250","10","10","10","0","0","1","1"
"162","Modraris","m","250","10","10","10","0","0","1","1"
"163","Elmuk","f","250","10","10","10","0","0","1","1"
"164","Myf","m","250","10","10","10","0","0","1","1"
"165","Lobih","f","250","10","10","10","0","0","1","1"
"166","Estuos","f","250","10","10","10","0","0","1","1"
"167","Bexym","m","250","10","10","10","0","0","1","1"
"168","Awpage","m","250","10","10","10","0","0","1","1"
