"id","title","experience","gold","publisher","holder"
"1","Find my shoe!","300","20","132","0"
"2","Sheepie number 9","420","10","134","0"
"3","Materials for a wheelchair","350","40","137","0"
"4","Prove your strength!","500","50","138","0"
"5","Find the Imp who stole my sword","490","30","139","0"
"6","Free the chicken","290","15","142","0"
"7","Football with a severed head","510","22","143","0"
"8","Worm eating contest","480","100","144","0"
"9","Kill my mother in law","350","150","146","0"
"10","Collect food for my brother","450","30","147","0"
"11","Where did he go?","800","65","149","0"
"12","Walking dead","720","43","151","0"
"13","My love for him...","550","80","152","0"
"14","The wise old Turtle","970","120","154","0"
"15","Collect the diamonds","1100","60","158","0"
"16","Travel to Sempre City in Sempre","965","86","159","0"
"17","Kotaj is missing","960","180","162","0"
"18","Get your ride","480","60","165","0"
"19","He has a mustache, kill him!","1500","250","167","0"
"20","Do you like appels?","1220","170","169","0"
"21","So you are alone?","1125","230","171","0"
"22","It's a joke","680","270","172","0"
"23","His wolf must die!","1600","325","175","0"
"24","Destroy the tower","1700","400","177","2"
"25","Go to Fjitsur","725","200","179","0"
"26","Find the smurfs!","1300","500","181","0"
"27","Kill the Green Dragon","2500","1000","187","0"
"28","Kill the Queen!","2500","1000","194","0"
"29","There he goes","1875","700","49","0"
"30","Another godless man","1620","620","51","0"
"31","Fix the boat","1235","545","53","0"
"32","You find my wallet?","950","615","54","0"
"33","The golden hammer","1940","230","55","0"
"34","Me love shinies!","1745","450","58","0"
"35","Give me his eyes","1460","385","60","0"
"36","Away with the peace","3000","1200","68","0"
"37","He's shitting on my porch","2200","400","70","5"
"38","Delicious soup","1950","300","72","0"
"39","More, more, more!","1500","750","73","0"
"40","Total carnage","2650","975","75","0"
"41","Annihilate that sucker!","3500","2000","82","0"
"42","So, you think you can dance?","950","750","11","0"
"43","The voice of Knael","950","750","12","0"
"44","The dark pit","2250","820","14","0"
"45","Where is the sun?","2300","780","16","0"
"46","My neighbour likes other women","1800","900","18","0"
"47","How much is not the question","500","2500","21","0"
"48","I saw it all","1950","450","24","0"
"49","Kill that wrench","1850","1500","24","0"
"50","Hail the paper boy!","1250","800","28","0"
"51","So I did","1600","700","34","0"
"52","I want chocolate!","2100","800","36","0"
"53","He has forest weed","2350","950","38","0"
"54","The paper boy is back","2200","1200","40","0"
"55","That fat sucker is gone","2350","1200","45","0"
"56","Found him, kill him!","4500","2500","47","0"
"57","The lost search","2590","0","84","0"
"58","Turtle killer","3500","750","88","0"
"59","Why? Because!","3200","450","91","0"
"60","For all the evil","3100","1650","94","0"
"61","My last meal","2850","1975","96","0"
"62","Yo mama!","3650","2130","98","0"
"63","Yo daddy!","3650","2130","102","0"
"64","I was born too early","3475","2540","104","0"
"65","The cave is destroyed","3280","1480","105","0"
"66","It was a Behemoth!","3640","2450","105","0"
"67","Damn this region!","3850","1850","109","0"
"68","One more strike","4000","3000","117","0"
"69","A dark land","3950","1200","118","0"
"70","The Demi-Fiend is the boss here","3500","1350","120","0"
"71","Screaming from Yester","1250","500","123","0"
"72","Persue the villagers","4000","2500","130","0"
"73","Be the hero!","8000","5000","131","0"
